accession	Plantheight	Earheight	Earleafwidth	Earleaflength	Tasselmainaxislength	Tasselbranchnumber	Leafnumberaboveear	Earlength	Eardiameter	Cobdiameter	Earrownumber	Kernernumberperrow	100grainweight	cobweight	kernellength	Kernelwidth	Kernelthickness	Silkingtime	Pollenshed	Headingdate	cobcolor
MODEM-150	199.406862	84.09240313	8.415551016	62.57602963	26.18701812	7.008392031	5.446805873	13.16553466	3.814461974	2.333664854	15.09933923	24.01368699	18.66442693	18.73223124	8.7198173	6.948005094	4.41315604	69.5634	67.3508	64.3586	1.0
MODEM-177	167.7376926	62.32666383	8.336793644	75.8468716	26.86362604	8.25953511	5.364463679	13.24180052	3.664731428	2.374789637	12.51456913	23.22662586	22.17517342	16.69770013	8.408500486	7.95607262	4.782931405	69.1351	67.5734	66.1437	1.0
MODEM-238	195.1777397	65.90031644	9.38907964	78.97464118	27.64054122	9.749416145	5.498509112	13.84549223	3.708501624	2.483455763	14.09939167	23.3995741	21.94336045	17.4338478	8.836023115	8.18091486	4.777629966	74.5957	71.9141	69.8254	0.0
MODEM-268	160.7956655	52.69387703	8.844888078	70.42957469	28.36394677	6.981059882	5.635426946	10.73827719	3.66728469	2.257745983	13.23905944	19.08355482	18.86634823	14.05614498	7.96232754	7.360464037	4.21965352	71.2765	68.909	65.6974	0.0
MODEM-501	170.0178356	62.25478889	8.796211646	67.83068252	26.54872089	6.338754373	5.772344781	10.33143474	4.086384316	2.546535413	13.17491186	22.25759352	25.83110804	17.26231825	8.976617805	8.435537529	4.898237701	71.2765	69.7994	66.2553	1.0
MODEM-647	143.4828657	68.96951963	6.518810979	65.55214977	25.94091108	17.84754152	4.351873538	6.875042739	2.557710224	1.446642167	13.09944412	16.79624763	11.7898896	4.497660526	7.049896693	5.128420873	3.82734704	72.24015	70.9124	66.7015	0.0
MODEM-812	164.7820379	57.3004972	8.435240359	71.97071207	27.00737492	7.468018378	4.760575326	11.73433366	3.678227239	2.319895255	11.94856108	21.14170296	22.99261918	11.90201965	9.029699474	8.541258052	4.649070072	68.7068	66.4604	65.6974	0.0
MODEM-1323	183.0386928	70.55827585	10.53762464	70.99257322	32.98852183	5.730474602	5.672768174	12.49229884	4.136537665	2.926687993	15.11820617	21.17811141	22.25630796	24.18210638	8.487405669	8.20176116	4.741845253	75.4523	73.5836	71.9452	0.0
MODEM-1462	211.1751917	88.14599481	9.699733717	84.89124385	34.74483117	11.73294927	6.547893356	17.13560948	4.340433828	2.470617348	14.91066988	32.87164817	25.7713247	22.36770487	10.3352216	8.295569512	4.448940753	70.9553	69.0203	68.0403	0.0
MODEM-3411	164.5772904	61.68519937	8.995292781	77.94873276	30.77355845	7.539416646	5.399889972	13.24495738	4.064147779	2.432657107	15.23518117	21.91270538	23.37078023	16.58334709	9.259241825	7.528723462	4.751122771	74.5957	72.6932	68.0403	1.0
MODEM-4019	185.0797421	61.47476369	8.481182159	67.34616258	30.11428989	7.781501396	5.538722741	13.41742321	4.068693861	2.539092386	15.01632472	22.98568376	21.12896487	17.22658293	9.533258007	7.341106758	4.273993268	65.9229	64.0118	60.7885	1.0
MODEM-5213	182.3275054	50.13497482	8.33023053	69.56176081	29.95021852	3.512805366	6.558425497	11.82366211	4.019817143	2.705071878	15.20876746	21.91484706	24.73182652	17.21085938	8.847500233	7.911401976	5.073185185	67.4219	66.4604	64.9165	1.0
MODEM-5237	136.7789351	46.88735398	8.730580503	63.01960422	26.57482315	3.914002272	5.133714041	11.42035741	4.220065789	2.493689924	14.98613762	21.88486363	19.33851466	14.94274477	9.118647135	8.316415812	4.262065031	64.7452	63.7892	61.4579	0.0
MODEM-5311	159.2033738	67.08613788	8.296053271	79.67559094	31.24422201	9.179053535	4.917201906	11.33256858	3.976039163	2.590994255	12.86954118	19.06806678	25.48224591	19.26243502	8.908951516	9.070639761	5.227102664	73.7868	72.6206	68.7051	0.0
MODEM-7327	170.1279649	73.29647896	9.43502144	74.68902817	26.92906814	14.10694166	6.040435646	12.72225327	3.754642706	2.456474792	14.30692796	24.23785089	23.40988253	14.14333917	8.517533102	7.95607262	4.778955325	73.525	71.6915	69.7139	0.0
MODEM-7381	164.4017539	67.28376849	9.180959291	70.8066043	29.43421502	9.297792375	4.899442926	11.72778166	3.898526717	2.38688123	13.47437822	20.7154717	21.44755567	12.41679275	8.778177103	8.362385408	4.74740171	68.2785	67.4621	64.1355	0.0
MODEM-8902	148.3083927	43.69869045	8.513997731	64.70291294	26.80042128	3.818339749	5.342441929	12.17566928	3.471413063	2.19224735	10.60900869	22.06787264	26.20848885	13.62160344	8.524880006	9.2424835	4.701211596	69.2422	67.796	65.028	1.0
MODEM-9642	161.4207433	66.9779193	9.560822237	80.05559827	31.355266	9.671324291	5.445848406	11.31776236	3.968751914	2.53164936	12.47306187	18.98932119	23.86970102	18.98476086	8.821676718	8.505521537	4.494002984	75.9876	73.361	69.4907	0.0
MODEM-9782	141.2732986	45.74287539	9.060923924	59.55062342	24.9639407	5.911201466	5.524360731	8.331892508	3.99464928	2.412560935	14.89180295	16.9440231	20.36642219	10.62269506	9.04691515	7.351529908	4.46086899	69.9916	69.1316	66.2553	0.0
MODEM-81162	113.6601911	37.05771156	8.448366588	57.46923494	22.53270143	3.933525235	5.472520711	12.07059779	3.432202263	2.184432172	11.98252156	18.35813285	24.07978628	15.3040225	8.182854618	8.83110223	5.43699351	70.8482	69.0203	66.7015	1.0
MODEM-526018	174.651024	52.78430033	8.756832961	70.83334131	30.88169639	5.61835701	6.37842163	12.17036264	3.988083751	2.702466819	12.97114896	20.03520861	23.87716868	23.02380541	8.356853457	8.259832997	5.301147059	72.026	69.0203	66.4784	0.0
MODEM-04K5672	145.8567405	60.45515538	6.853712118	68.22307543	24.7551226	10.3116775	4.812278565	10.47931312	3.492386282	2.182943566	11.98629495	19.7860237	19.8753447	10.60840093	8.158873178	8.084128465	4.528462337	67.529	65.4587	62.462	0.0
MODEM-04K5686	152.5477081	46.99577362	6.673044166	64.44131767	30.57219814	9.47219006	4.918831006	10.82336033	3.389343946	2.343899015	12.25043204	18.92935434	19.02270684	10.68940099	6.916475202	7.728252337	4.737869174	64.2098	62.0083	58.334	0.0
MODEM-04K5702	160.7010473	53.92579793	7.407019116	71.34515815	30.19930868	8.816218477	5.309888038	13.01411851	3.922793209	2.716980721	12.94850864	25.37579127	23.06304434	15.67566986	8.391284809	8.463828937	4.740519893	59.7128	58.3354	54.9869	0.0
MODEM-05W002	170.996685	64.86185482	8.631562726	69.39222496	29.83995667	4.852017942	5.914049953	13.68802881	3.847777212	2.158985346	12.64904481	23.90335415	26.11910755	0.0	9.742715403	8.08859553	4.505931221	67.2078	65.57	64.0239	1.0
MODEM-05WN230	202.6145733	78.00080929	8.66932477	75.71266185	34.2451593	4.532880223	6.219482046	11.51410807	4.046444012	2.862491889	13.83902797	17.40639534	27.36961415	25.69585471	8.966575327	8.588906739	5.546338609	71.5977	70.8011	69.0445	0.0
MODEM-07KS4	190.0986049	76.49761848	8.448366588	71.99345948	27.11551287	5.141438894	5.85660191	11.98377195	4.070361536	2.263263482	13.68899782	22.12788234	23.84819636	16.54601193	10.4327771	8.7735454	4.585452805	75.3452	73.5836	72.0568	1.0
MODEM-18-599	184.2190934	82.45473663	8.500871502	83.35579333	27.57043801	10.05006979	5.514786057	11.98109245	4.500924546	2.99590814	14.82388198	21.19952814	24.74680625	24.63808912	8.643781396	8.907557331	4.956553529	73.6321	71.8028	68.8213	0.0
MODEM-303WX	126.0282494	49.56516448	7.233643513	61.16853332	29.09182699	4.334303792	4.880121967	9.837209595	3.873186986	2.414607768	14.95972391	20.31930037	19.39389834	9.057487865	8.135918943	7.351529908	4.523160898	63.8886	62.2309	59.2265	0.0
MODEM-384-2	213.1582956	86.60261586	10.59231726	74.25682729	35.95485746	7.14895737	5.937986637	13.87202543	4.166264923	2.808157796	15.16348681	24.20857927	23.40744239	29.13359287	8.712644101	7.985853049	4.51255802	72.5614	71.4689	68.7097	0.0
MODEM-3H-2	121.2660952	40.60954987	7.824614223	65.88053132	26.77245457	7.234858411	5.81812105	10.70219203	2.739241578	1.885222505	10.75994417	17.78129577	18.7657039	8.485722682	0.0	0.0	0.0	73.2497	74.4278	69.0351	0.0
MODEM-4F1	169.5399805	54.96792927	8.485557569	66.67056435	32.54105448	9.530758951	5.157650725	13.83487895	3.611660066	2.190014442	12.36740704	22.84850001	24.96903201	13.40862091	9.366839802	8.502543495	4.829318995	69.2422	67.6847	63.8008	1.0
MODEM-7884-4HT	138.6627675	37.25699613	7.214501097	74.30232212	37.63845336	5.834225209	5.378825689	11.57248111	3.486550256	2.159769554	13.08435057	20.39263498	21.00373975	14.91272002	9.026830195	7.96649577	5.156682848	69.7775	66.2378	63.9123	1.0
MODEM-835A	176.0687456	60.82424586	8.564314941	67.24379921	29.74438354	10.01102386	5.068606259	12.38315893	4.269307259	2.730378168	15.26914165	24.89391476	21.88845738	17.60493899	9.37688228	8.121354002	4.535089135	67.4219	65.57	63.8008	1.0
MODEM-835B	161.3850902	67.93677289	9.135305886	64.49818621	26.72025004	6.680964038	4.731577743	11.91635143	3.86516245	2.423353324	15.42385052	24.59622215	18.79497424	18.62311939	8.498882786	7.153490055	4.46351971	68.4927	68.6864	65.6974	0.0
MODEM-975-12	164.5625547	65.4304244	8.699952637	72.58489228	27.02974829	6.084676944	5.503296448	12.58557367	4.25246909	2.487500327	15.85470465	24.02454806	24.04589619	18.88255495	10.50737836	7.711873101	4.211701361	68.3856	66.2378	63.8008	0.0
MODEM-A619	162.8986487	44.82947857	7.673189864	62.62152446	28.96131568	7.688348969	5.508220566	10.85166241	3.994831656	2.528113922	13.75978684	18.80085393	23.36779017	13.41005032	8.771464329	8.450427744	4.60930928	67.1007	65.6813	60.9	0.0
MODEM-B11	158.4496	68.70498455	7.914224959	78.27708967	31.94443135	9.155918047	5.102117618	13.83311007	3.612754321	2.35785469	12.0579893	25.74844244	21.34552699	20.74055645	8.671749731	8.014701255	4.297252899	77.9149	77.1452	74.7344	0.0
MODEM-B110	197.7006325	68.95616039	8.450554293	75.25316407	24.37179224	8.023586147	6.034690842	12.09430079	3.644122961	2.305381353	13.20509895	20.9982233	22.93527597	15.68043458	9.953607438	8.233030611	4.570873848	73.9533	70.24457	67.1478	1.0
MODEM-B111	183.1955773	64.44460062	7.704546965	67.65325268	22.45514042	12.37330248	5.928822307	11.02837355	3.315116989	2.00431093	13.31075379	22.67278831	22.51550653	10.76611282	9.653563787	7.802649054	4.55874402	68.7068	67.4621	63.2429	1.0
MODEM-B113	175.4002139	59.12784286	9.122179657	75.42831916	31.48130264	4.700777712	6.150544395	12.67095574	3.34903889	1.93434648	13.31075379	26.72882775	17.87138254	11.62566648	8.746190551	7.329772645	4.414473057	71.8119	68.7977	65.9206	1.0
